Date;Return_AMD;Return_SPY
10/7/2018;-0.4%;0.4%
11/7/2018;-1.7%;-0.7%
12/7/2018;1.8%;0.9%
13/7/2018;-1.8%;0.1%
16/7/2018;1.9%;-0.1%
17/7/2018;1.7%;0.4%
18/7/2018;-0.1%;0.2%
19/7/2018;-0.8%;-0.4%
20/7/2018;-1.3%;-0.1%
23/7/2018;1.0%;0.2%
24/7/2018;-2.8%;0.5%
25/7/2018;-0.9%;0.9%
26/7/2018;14.3%;-0.2%
27/7/2018;3.2%;-0.7%
30/7/2018;2.5%;-0.5%
31/7/2018;-5.6%;0.5%
1/8/2018;0.8%;-0.2%
2/8/2018;1.7%;0.5%
3/8/2018;-1.6%;0.4%
6/8/2018;5.1%;0.4%
7/8/2018;0.7%;0.3%
8/8/2018;0.1%;0.0%
9/8/2018;-2.5%;-0.1%
10/8/2018;-0.2%;-0.7%
13/8/2018;3.5%;-0.4%
14/8/2018;1.5%;0.6%
15/8/2018;-1.6%;-0.7%
16/8/2018;-1.9%;0.8%
17/8/2018;2.3%;0.4%
20/8/2018;1.1%;0.2%
21/8/2018;2.1%;0.2%
22/8/2018;2.5%;-0.1%
23/8/2018;6.7%;-0.1%
24/8/2018;7.6%;0.6%
27/8/2018;5.3%;0.8%
28/8/2018;-0.8%;0.0%
29/8/2018;0.6%;0.5%
30/8/2018;-1.2%;-0.4%
31/8/2018;1.1%;0.0%
4/9/2018;11.5%;-0.2%
5/9/2018;1.6%;-0.3%
6/9/2018;-2.4%;-0.3%
7/9/2018;-1.7%;-0.2%
10/9/2018;9.2%;0.2%
11/9/2018;0.7%;0.3%
12/9/2018;7.0%;0.0%
13/9/2018;-5.4%;0.6%
14/9/2018;7.3%;0.0%
17/9/2018;-0.9%;-0.5%
18/9/2018;-1.5%;0.5%
19/9/2018;-2.3%;0.1%
20/9/2018;-0.1%;0.8%
21/9/2018;-0.5%;-0.1%
24/9/2018;5.1%;-0.3%
25/9/2018;-0.1%;-0.1%
26/9/2018;-1.2%;-0.3%
27/9/2018;1.2%;0.3%
28/9/2018;-5.2%;0.0%
1/10/2018;1.7%;0.3%
2/10/2018;-7.6%;-0.1%
3/10/2018;-2.0%;0.1%
4/10/2018;-2.3%;-0.8%
5/10/2018;-1.5%;-0.6%
8/10/2018;-3.3%;0.0%
9/10/2018;2.9%;-0.1%
10/10/2018;-8.2%;-3.2%
11/10/2018;1.2%;-2.2%
12/10/2018;4.1%;1.4%
15/10/2018;-0.3%;-0.6%
16/10/2018;7.3%;2.2%
17/10/2018;-3.1%;0.0%
18/10/2018;-2.5%;-1.4%
19/10/2018;-11.1%;-0.1%
22/10/2018;5.8%;-0.4%
23/10/2018;0.2%;-0.5%
24/10/2018;-9.2%;-3.0%
25/10/2018;-15.4%;1.8%
26/10/2018;-8.5%;-1.8%
29/10/2018;-4.4%;-0.6%
30/10/2018;2.1%;1.5%
31/10/2018;5.9%;1.1%
1/11/2018;11.0%;1.1%
2/11/2018;0.0%;-0.6%
5/11/2018;-1.6%;0.6%
6/11/2018;3.9%;0.6%
7/11/2018;5.6%;2.1%
8/11/2018;-2.9%;-0.2%
9/11/2018;-0.8%;-1.0%
12/11/2018;-9.5%;-1.9%
13/11/2018;3.0%;-0.2%
14/11/2018;6.1%;-0.7%
15/11/2018;3.3%;1.0%
16/11/2018;-3.9%;0.3%
19/11/2018;-7.5%;-1.7%
20/11/2018;0.5%;-1.9%
21/11/2018;-2.5%;0.3%
23/11/2018;3.5%;-0.7%
26/11/2018;3.6%;1.6%
27/11/2018;4.8%;0.3%
28/11/2018;1.4%;2.3%
29/11/2018;0.4%;-0.2%
30/11/2018;-0.6%;0.6%
3/12/2018;11.3%;1.3%
4/12/2018;-10.9%;-3.2%
6/12/2018;0.9%;-0.2%
7/12/2018;-8.6%;-2.3%
10/12/2018;2.7%;0.2%
11/12/2018;-0.1%;0.0%
12/12/2018;2.5%;0.5%
13/12/2018;-3.0%;0.0%
14/12/2018;0.2%;-1.8%
17/12/2018;-5.4%;-2.0%
18/12/2018;3.6%;-0.1%
19/12/2018;-6.9%;-1.5%
20/12/2018;-1.2%;-1.6%
21/12/2018;-5.6%;-2.0%
24/12/2018;-1.7%;-2.6%
26/12/2018;7.5%;5.1%
27/12/2018;-2.3%;0.8%
28/12/2018;1.9%;-0.1%
31/12/2018;3.6%;0.9%
2/1/2019;2.0%;0.1%
3/1/2019;-9.5%;-2.4%
4/1/2019;11.4%;3.3%
7/1/2019;8.3%;0.8%
8/1/2019;0.9%;0.9%
9/1/2019;-2.7%;0.5%
10/1/2019;-2.2%;0.4%
11/1/2019;2.7%;0.0%
14/1/2019;-0.2%;-0.6%
15/1/2019;0.7%;1.1%
16/1/2019;-3.2%;0.2%
17/1/2019;2.6%;0.8%
18/1/2019;2.6%;1.3%
22/1/2019;-4.9%;-1.4%
23/1/2019;0.2%;0.2%
24/1/2019;5.3%;0.1%
25/1/2019;5.2%;0.8%
28/1/2019;-8.0%;-0.8%
29/1/2019;-4.6%;-0.1%
30/1/2019;19.9%;1.6%
31/1/2019;5.7%;0.9%
1/2/2019;0.4%;0.0%
4/2/2019;-1.6%;0.7%
5/2/2019;-3.4%;0.4%
6/2/2019;-0.2%;-0.1%
7/2/2019;-2.5%;-1.0%
8/2/2019;1.7%;0.1%
11/2/2019;-0.4%;0.1%
12/2/2019;-0.6%;1.3%
13/2/2019;0.1%;0.3%
14/2/2019;1.2%;-0.2%
15/2/2019;2.4%;1.1%
19/2/2019;1.1%;0.2%
20/2/2019;0.0%;0.2%
21/2/2019;-0.1%;-0.4%
22/2/2019;1.8%;0.6%
25/2/2019;1.4%;0.1%
26/2/2019;-2.0%;-0.1%
27/2/2019;-3.0%;0.0%
28/2/2019;0.2%;-0.2%
1/3/2019;0.6%;0.6%
4/3/2019;-1.3%;-0.4%
5/3/2019;0.6%;-0.1%
6/3/2019;-4.6%;-0.6%
7/3/2019;-1.5%;-0.8%
8/3/2019;-0.3%;-0.2%
11/3/2019;4.3%;1.5%
12/3/2019;2.3%;0.4%
13/3/2019;-0.5%;0.7%
14/3/2019;-2.4%;-0.1%
15/3/2019;2.1%;0.5%
18/3/2019;-0.2%;0.4%
19/3/2019;11.8%;0.0%
20/3/2019;-1.2%;-0.3%
21/3/2019;8.5%;1.1%
22/3/2019;-5.4%;-1.9%
25/3/2019;-1.5%;-0.1%
26/3/2019;-1.1%;0.7%
27/3/2019;-3.1%;-0.5%
28/3/2019;0.7%;0.4%
29/3/2019;1.8%;0.6%
1/4/2019;3.3%;1.2%
2/4/2019;1.5%;0.0%
3/4/2019;8.5%;0.2%
4/4/2019;0.2%;0.3%
5/4/2019;-0.4%;0.5%
8/4/2019;-1.6%;0.1%
9/4/2019;-4.5%;-0.5%
10/4/2019;2.2%;0.3%
11/4/2019;-0.1%;0.0%
12/4/2019;0.2%;0.7%
15/4/2019;-1.9%;-0.1%
16/4/2019;2.2%;0.1%
17/4/2019;-1.6%;-0.2%
18/4/2019;0.7%;0.2%
22/4/2019;1.8%;0.1%
23/4/2019;-0.7%;0.9%
24/4/2019;1.8%;-0.2%
25/4/2019;-2.8%;-0.1%
26/4/2019;0.8%;0.5%
29/4/2019;-0.7%;0.2%
30/4/2019;-0.2%;0.1%
1/5/2019;-3.0%;-0.8%
2/5/2019;5.5%;-0.2%
3/5/2019;-0.2%;1.0%
6/5/2019;-2.8%;-0.4%
7/5/2019;-2.8%;-1.7%
8/5/2019;1.6%;-0.1%
9/5/2019;0.4%;-0.3%
10/5/2019;2.8%;0.5%
13/5/2019;-6.2%;-2.5%
14/5/2019;4.1%;0.9%
15/5/2019;1.0%;0.6%
16/5/2019;1.6%;0.9%
17/5/2019;-1.8%;-0.6%
20/5/2019;-3.0%;-0.7%
21/5/2019;2.5%;0.9%
22/5/2019;0.2%;-0.3%
23/5/2019;-3.8%;-1.2%
24/5/2019;0.3%;0.2%
28/5/2019;9.9%;-0.9%
29/5/2019;-3.3%;-0.7%
30/5/2019;-0.2%;0.3%
31/5/2019;-2.2%;-1.3%
3/6/2019;0.6%;-0.3%
4/6/2019;7.2%;2.2%
5/6/2019;-0.2%;0.9%
6/6/2019;7.9%;0.7%
7/6/2019;1.9%;1.0%
10/6/2019;2.5%;0.5%
11/6/2019;-2.5%;0.0%
12/6/2019;-0.7%;-0.2%
13/6/2019;-2.5%;0.4%
14/6/2019;-3.3%;-0.1%
17/6/2019;-3.8%;0.0%
18/6/2019;4.3%;1.0%
19/6/2019;0.2%;0.2%
20/6/2019;-1.6%;1.0%
21/6/2019;-3.0%;-0.1%
24/6/2019;0.5%;-0.1%
25/6/2019;-1.4%;-1.0%
26/6/2019;3.7%;-0.1%
27/6/2019;2.7%;0.4%
28/6/2019;-1.2%;0.5%
1/7/2019;2.7%;0.9%
2/7/2019;0.1%;0.3%
3/7/2019;-0.2%;0.8%
5/7/2019;1.0%;-0.1%
8/7/2019;1.7%;-0.5%
9/7/2019;3.5%;0.1%
10/7/2019;1.9%;0.5%
11/7/2019;-2.2%;0.2%
12/7/2019;0.5%;0.4%
15/7/2019;3.6%;0.0%
16/7/2019;-1.6%;-0.3%
17/7/2019;-0.7%;-0.7%
18/7/2019;-1.8%;0.4%
19/7/2019;-1.5%;-0.6%
22/7/2019;1.0%;0.2%
23/7/2019;1.9%;0.7%
24/7/2019;1.9%;0.5%
25/7/2019;-1.3%;-0.5%
26/7/2019;1.0%;0.7%
29/7/2019;-1.6%;-0.2%
30/7/2019;1.2%;-0.2%
31/7/2019;-10.1%;-1.1%
1/8/2019;-1.9%;-0.9%
2/8/2019;-1.4%;-0.8%
5/8/2019;-4.9%;-3.0%
6/8/2019;3.1%;1.4%
7/8/2019;1.1%;0.1%
8/8/2019;16.2%;2.0%
9/8/2019;0.8%;-0.7%
12/8/2019;-5.1%;-1.2%
13/8/2019;-1.0%;1.6%
14/8/2019;-5.8%;-3.0%
15/8/2019;-1.9%;0.3%
16/8/2019;5.1%;1.5%
19/8/2019;1.0%;1.2%
20/8/2019;-2.4%;-0.8%
21/8/2019;3.2%;0.8%
22/8/2019;0.6%;0.0%
23/8/2019;-7.4%;-2.6%
26/8/2019;2.5%;1.1%
27/8/2019;-0.3%;-0.4%
28/8/2019;1.9%;0.7%
29/8/2019;2.2%;1.3%
30/8/2019;0.0%;0.0%
3/9/2019;-1.7%;-0.6%
4/9/2019;0.2%;1.1%
5/9/2019;1.8%;1.3%
6/9/2019;-3.0%;0.1%
9/9/2019;-0.2%;0.1%
10/9/2019;-0.9%;0.0%
11/9/2019;-1.6%;0.7%
12/9/2019;1.5%;0.3%
13/9/2019;1.6%;-0.1%
16/9/2019;0.5%;-0.3%
17/9/2019;0.5%;0.3%
18/9/2019;-1.8%;0.1%
19/9/2019;-0.4%;0.0%
20/9/2019;-0.8%;-0.5%
23/9/2019;2.0%;0.0%
24/9/2019;-3.7%;-0.8%
25/9/2019;0.1%;0.6%
26/9/2019;-0.2%;-0.2%
27/9/2019;-2.5%;-0.5%
30/9/2019;0.9%;0.5%
1/10/2019;-0.8%;-1.2%
2/10/2019;-1.6%;-1.8%
3/10/2019;1.3%;0.8%
4/10/2019;1.2%;1.4%
7/10/2019;-0.3%;-0.4%
8/10/2019;-2.4%;-1.6%
9/10/2019;0.8%;0.9%
10/10/2019;-0.3%;0.7%
11/10/2019;4.8%;1.0%
14/10/2019;2.6%;-0.1%
15/10/2019;0.6%;1.0%
16/10/2019;0.3%;-0.2%
17/10/2019;1.1%;0.3%
18/10/2019;-0.5%;-0.4%
21/10/2019;3.4%;0.7%
22/10/2019;-1.6%;-0.3%
23/10/2019;-0.5%;0.3%
24/10/2019;1.1%;0.2%
25/10/2019;3.1%;0.4%
28/10/2019;3.0%;0.6%
29/10/2019;-2.0%;0.0%
30/10/2019;0.3%;0.3%
31/10/2019;2.4%;-0.3%
1/11/2019;2.8%;0.9%
4/11/2019;4.0%;0.4%
5/11/2019;-0.4%;-0.1%
6/11/2019;-0.6%;0.0%
7/11/2019;1.0%;0.4%
8/11/2019;0.0%;0.2%
11/11/2019;0.1%;-0.2%
12/11/2019;1.1%;0.2%
13/11/2019;2.2%;0.0%
14/11/2019;2.2%;0.1%
15/11/2019;0.5%;0.7%
18/11/2019;3.4%;0.1%
19/11/2019;3.5%;0.0%
20/11/2019;-0.8%;-0.4%
21/11/2019;-3.6%;-0.2%
22/11/2019;-0.9%;0.2%
25/11/2019;1.6%;0.8%
26/11/2019;-2.0%;0.2%
27/11/2019;1.1%;0.4%
29/11/2019;-0.7%;-0.4%
2/12/2019;-1.1%;-0.8%
3/12/2019;0.4%;-0.7%
4/12/2019;2.0%;0.6%
5/12/2019;-0.2%;0.2%
6/12/2019;0.0%;0.9%
9/12/2019;-1.8%;-0.3%
